,titulo,precio,nRecamaras,m2_construidos,ubicacion,link,imagen,lat,lng
730,"Casa en Venta,Sierra Alta,Estricta Seguridad,Espectacular,Monterrey,Nuevo Leon","$ 15,900,000",4,600,"Sierra Alta 2a Etapa, Monterrey",https://www.lamudi.com.mx/casa-en-venta-sierra-alta-estricta-seguridad-espectacular-monterrey-nuevo-leon-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/7fb2362e407196.jpg,25.577379,-100.2747871
731,"CASA EN VENTA SIERRA ALTA 2DO SECTOR, CARRETERA NACIONAL MONTERREY","$ 21,000,000",4,736,"Sierra Alta 2a Etapa, Monterrey",https://www.lamudi.com.mx/casa-en-venta-sierra-alta-2do-sector-carretera-nacional-monterrey.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/120b42d97dd2b2.jpg,25.577379,-100.2747871
732,VENTA DE CASA PROYECTO SIERRA ALTA SECTOR 10 CARRETERA NACIONAL,"$ 18,500,000",4,602,"Sierra Alta 2a Etapa, Monterrey",https://www.lamudi.com.mx/venta-de-casa-proyecto-sierra-alta-sector-10-carretera-nacional.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/a65e5159b11aa6.jpg,25.577379,-100.2747871
733,"Casa en Venta Zona Sierra Alta, con alberca","$ 14,000,000",4,402,"Sierra Alta 2a Etapa, Monterrey",https://www.lamudi.com.mx/casa-en-venta-zona-sierra-alta-con-alberca.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/a8be3448677a6d.jpg,25.577379,-100.2747871
734,CASA EN VENTA SIERRA ALTA ZONA CARRETERA NACIONAL MONTERREY,"$ 15,800,000",3,620,"Sierra Alta 2a Etapa, Monterrey",https://www.lamudi.com.mx/casa-en-venta-sierra-alta-zona-carretera-nacional-monterrey-41.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/d847b75dfcbc6b.jpg,25.577379,-100.2747871
735,"CASA EN VENTA SIERRA ALTA RINCON DEL VALLE MONTERREY N L  $20,900,000","$ 20,900,000",3,603,"Sierra Alta 2a Etapa, Monterrey",https://www.lamudi.com.mx/casa-en-venta-sierra-alta-rincon-del-valle-monterrey-n-l-20-900-000-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/9bcb6c1a5059bc.jpg,25.577379,-100.2747871
736,"Casa en VENTA en SIERRA ALTA Mty Carretera Nacional, SIN VECINO ENFRENTE, con 5R","$ 16,750,000",5,552,"Sierra Alta 2a Etapa, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-sierra-alta-mty-carretera-nacional-sin-vecino-enfrente-con-5r.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/66dc6fd0642b5e.jpg,25.577379,-100.2747871
737,CASA EN VENTA EN RINCON DE LA PRIMAVERA MONTERREY N.L.,"$ 4,700,000",3,280,"Rincon de La Primavera, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-rincon-de-la-primavera-monterrey-n-l.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/fabf4e681f4729.jpg,25.649857,-100.2722814
738,"Casa En Venta En Rincon De La Primavera, Monterrey, Nuevo Leon","$ 3,700,000",3,146,"Rincon de La Primavera, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-rincon-de-la-primavera-monterrey-nuevo-leon-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/990e14e39b3cc4.jpg,25.649857,-100.2722814
739,"Casa En Venta En Rincon De La Primavera, Monterrey, Nuevo Leon","$ 3,800,000",3,108,"Rincon de La Primavera, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-rincon-de-la-primavera-monterrey-nuevo-leon-2.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/df0111aeb29846.jpg,25.649857,-100.2722814
740,"Casa en Venta Rincon de la Primavera, Monterrey.","$ 3,350,000",3,146,"Rincon de La Primavera, Monterrey",https://www.lamudi.com.mx/casa-en-venta-rincon-de-la-primavera-monterrey-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/85bcb8a4796bdf.jpg,25.649857,-100.2722814
741,CASA EN VENTA EN RINCON DE LA PRIMAVERA,"$ 4,490,000",3,186,"Rincon de La Primavera, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-rincon-de-la-primavera-11.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/964fb7ab9fdc3d.jpg,25.649857,-100.2722814
742,Casa en Venta Zona Sur Rincon de la Primavera,"$ 5,980,000",4,328,"Rincon de La Primavera, Monterrey",https://www.lamudi.com.mx/casa-en-venta-zona-sur-rincon-de-la-primavera.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/69ab19474c5da5.jpg,25.649857,-100.2722814
743,"Casa en Venta Rincon de La Primavera Monterrey, N.L. Mexico","$ 3,150,000",3,156,"Rincon de La Primavera, Monterrey",https://www.lamudi.com.mx/casa-en-venta-rincon-de-la-primavera-monterrey-n-l-mexico.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/122a3ef8700f66.jpg,25.649857,-100.2722814
744,Casa en venta en Rincon de la Primavera en Monterrey,"$ 5,500,000",3,176,"Rincon de La Primavera, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-rincon-de-la-primavera-en-monterrey.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/f4cec15936373a.jpg,25.649857,-100.2722814
745,Casa Col. Rincon de la Primavera,"$ 3,700,000",3,146,"Rincon de La Primavera, Monterrey",https://www.lamudi.com.mx/casa-col-rincon-de-la-primavera.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/89c757e415d483.jpg,25.649857,-100.2722814
746,CASA EN VENTA EN RINCON DE LA PRIMAVERA,"$ 5,200,000",3,207,"Rincon de La Primavera, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-rincon-de-la-primavera-10.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/eb68f36579f75d.jpg,25.649857,-100.2722814
747,CASA EN VENTA EN RINCON DE LA PRIMAVERA AL SUR DE MONTERREY,"$ 3,800,000",3,199,"Rincon de La Primavera, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-rincon-de-la-primavera-al-sur-de-monterrey.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/706070d201759e.jpg,25.649857,-100.2722814
748,"SE VENDE  CASA ZONA CARRETERA NACIONAL FRACC, CERRADAS VALLE ALTO","$ 5,600,000",3,210,"Valle Alto, Monterrey",https://www.lamudi.com.mx/se-vende-casa-zona-carretera-nacional-fracc-cerradas-valle-alto.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/01f34ce1779a8c.jpg,25.5703982,-100.2733331
749,CASA EN VENTA PORTAL DE VALLE ALTO,"$ 10,600,000",4,380,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-portal-de-valle-alto.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/39087d8512169a.jpg,25.5703982,-100.2733331
750,"Casa en Venta en Jardines de Valle Alto, Carretera Nacional Monterrey","$ 8,900,000",3,520,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-jardines-de-valle-alto-carretera-nacional-monterrey.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/e4a99c1a599682.jpg,25.5703982,-100.2733331
751,"Casa En Venta En Portal De Valle Alto, Monterrey, Nuevo Leon","$ 10,180,000",4,420,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-portal-de-valle-alto-monterrey-nuevo-leon-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/8a305757028a60.jpg,25.5703982,-100.2733331
752,Casa en Venta Sierra Alta Monterrey Nuevo Leon,"$ 13,950,000",5,550,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-sierra-alta-monterrey-nuevo-leon.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/52c7458763838d.jpg,25.5703982,-100.2733331
753,"Casa Venta Carretera Nacional, Jardines de Vallealto.","$ 9,900,000",4,520,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-venta-carretera-nacional-jardines-de-vallealto.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/dcbcf5115c385d.jpg,25.5703982,-100.2733331
754,Casa en Venta Portal de Valle Alto,"$ 13,300,000",3,472,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-portal-de-valle-alto-5.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/7947f9ab2076c6.jpg,25.5703982,-100.2733331
755,"Casa en Venta en Valle Alto, Carretera Nacional. - 7649","$ 18,300,000",4,834,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-valle-alto-carretera-nacional-7649.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/902891adf2e2de.jpg,25.5703982,-100.2733331
756,"Venta de Residencia en Valle Alto, Monterrey N.L.","$ 23,500,000",3,963,"Valle Alto, Monterrey",https://www.lamudi.com.mx/venta-de-residencia-en-valle-alto-monterrey-n-l.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/ab9435288955a9.jpg,25.5703982,-100.2733331
757,"Casa En Venta En Rincon De Valle Alto, Monterrey, Nuevo Leon","$ 19,500,000",3,956,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-rincon-de-valle-alto-monterrey-nuevo-leon.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/1f44023487c30b.jpg,25.5703982,-100.2733331
758,"Casa En Venta En Rincon De Valle Alto, Monterrey, Nuevo Leon","$ 10,900,000",3,550,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-rincon-de-valle-alto-monterrey-nuevo-leon-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/f8128f24376da7.jpg,25.5703982,-100.2733331
759,Casa en Venta Jardines Valle Alto Carretera Nacional zona Sur Monterrey NL,"$ 12,899,990",4,641,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-jardines-valle-alto-carretera-nacional-zona-sur-monterrey-nl.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/ad6909f99215b2.jpg,25.5703982,-100.2733331
760,Venta Casa  Portal de Valle Alto Camino al Diente Carretera Nacional Equipada,"$ 9,700,000",4,400,"Valle Alto, Monterrey",https://www.lamudi.com.mx/venta-casa-portal-de-valle-alto-camino-al-diente-carretera-nacional-equipada.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/c0fb30c3a0edd6.jpg,25.5703982,-100.2733331
761,Casa en Venta en Valle Alto Monterrey Nuevo Leon Zona Sur,"$ 12,899,900",4,651,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-valle-alto-monterrey-nuevo-leon-zona-sur.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/a287b2caf6fa8a.jpg,25.5703982,-100.2733331
762,"Casa en venta Rincon de los Encinos, Carretera Nacional.","$ 13,800,000",4,664,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-rincon-de-los-encinos-carretera-nacional-3.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/ab04bf794e612c.jpg,25.5703982,-100.2733331
763,"Casa en Venta,Estricta Seguridad,Valle Alto,Monterrey,Nuevo Leon4","$ 12,900,000",4,488,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-estricta-seguridad-valle-alto-monterrey-nuevo-leon4.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/bc6dd0642dfe09.jpg,25.5703982,-100.2733331
764,CASA EN VENTA EN VALLE ALTO ZONA CARRETERA NACIONAL,"$ 8,500,000",3,350,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-valle-alto-zona-carretera-nacional.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/5361bb11f93eea.jpg,25.5703982,-100.2733331
765,Casas en Venta en Rincon de Valle Alto,"$ 19,900,000",3,593,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casas-en-venta-en-rincon-de-valle-alto-2.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/97bde2ce6eda42.jpg,25.5703982,-100.2733331
766,"CASA EN VENTA  PORTON  VALLE ALTO CARR NACIONAL MONTERREY  $13,900,000","$ 13,900,000",3,540,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-porton-valle-alto-carr-nacional-monterrey-13-900-000-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/4d728de48aaf44.jpg,25.5703982,-100.2733331
767,Casa en Venta RID14566,"$ 4,290,000",3,216,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-rid14566.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/9f9471a4f9312c.jpg,25.5703982,-100.2733331
768,Casa Valle Alto,"$ 23,500,000",3,963,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-valle-alto-17.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/74c9fd05ff4c07.jpg,25.5703982,-100.2733331
769,Casa en venta en Valle Alto en Monterrey,"$ 13,950,000",3,512,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-valle-alto-en-monterrey-3.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/d07520639a4d00.jpg,25.5703982,-100.2733331
770,PRECIOSA RESIDENCIA EN VALLE ALTO ZONA SUR,"$ 13,500,000",3,530,"Valle Alto, Monterrey",https://www.lamudi.com.mx/preciosa-residencia-en-valle-alto-zona-sur.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/82694bb2c458b5.jpg,25.5703982,-100.2733331
771,CASA EN VENTA PORTAL DE VALLE ALTO,"$ 9,700,000",4,400,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-portal-de-valle-alto-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/b152670ddd1194.jpg,25.5703982,-100.2733331
772,Casa en Venta en Porton de  Valle Alto - Zona Sur,"$ 11,000,000",2,302,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-porton-de-valle-alto-zona-sur-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/cc8175a27e5714.jpg,25.5703982,-100.2733331
773,Casas en Venta en Portal Valle Alto,"$ 9,700,000",4,400,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casas-en-venta-en-portal-valle-alto.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/c11549ddb736a8.jpg,25.5703982,-100.2733331
774,CASA EN VENTA EN VALLE ALTO,"$ 11,600,000",4,650,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-valle-alto-64.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/ac0a0e1286621a.jpg,25.5703982,-100.2733331
775,CASA EN VENTA EN VALLE ALTO ZONA CARRETERA NACIONAL,"$ 10,000,000",3,450,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-valle-alto-zona-carretera-nacional-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/73dc97d8f07a6f.jpg,25.5703982,-100.2733331
776,CASA EN VENTA EN JARDINES DE VALLE ALTO ZONA CARRETERA NACIONAL,"$ 8,900,000",3,520,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-jardines-de-valle-alto-zona-carretera-nacional.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/768b7dba8e744b.jpg,25.5703982,-100.2733331
777,HERMOSA CASA EN PREVENTA,"$ 10,180,000",4,486,"Valle Alto, Monterrey",https://www.lamudi.com.mx/hermosa-casa-en-preventa-9.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/487468dd6bd105.jpg,25.5703982,-100.2733331
778,CASA EN VENTA PORTAL DE VALLE ALTO ZONA CARRETERA NACIONAL,"$ 8,450,000",3,325,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-portal-de-valle-alto-zona-carretera-nacional.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/7261a55076db99.jpg,25.5703982,-100.2733331
779,CASA EN VENTA EN PORTAL DE VALLE ALTO EN ZONA CARRETERA NACIONAL,"$ 8,000,000",3,325,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-portal-de-valle-alto-en-zona-carretera-nacional.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/cee6c57678f450.jpg,25.5703982,-100.2733331
780,"Casa en Portal de Valle Alto con Jardin Interior y Sotano, Monterrey","$ 10,480,000",4,481,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-portal-de-valle-alto-con-jardin-interior-y-sotano-monterrey.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/dd5b611ca7f8a9.jpg,25.5703982,-100.2733331
781,"CASA EN VENTA, PORTAL DE VALLE ALTO","$ 8,000,000",3,400,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-portal-de-valle-alto-6.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/030b434757d6e2.jpg,25.5703982,-100.2733331
782,Casa en Venta en Valle Alto Carretera Nacional,"$ 15,800,000",3,782,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-valle-alto-carretera-nacional-2.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/5929f2d5280d65.jpg,25.5703982,-100.2733331
783,Proyecto / Casa en Venta Valle Alto Carretera Nacional,"$ 12,900,000",3,487,"Valle Alto, Monterrey",https://www.lamudi.com.mx/proyecto-casa-en-venta-valle-alto-carretera-nacional.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/68c9b8f64746cf.jpg,25.5703982,-100.2733331
784,CASA EN VENTA EN PORTAL DE VALLE ALTO ZONA CARRETERA NACIONAL,"$ 10,600,000",3,384,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-portal-de-valle-alto-zona-carretera-nacional-2.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/2a0669e10fb9db.jpg,25.5703982,-100.2733331
785,Casa - Valle Alto - Monterrey - Residencia - Lujo,"$ 11,680,000",3,422,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-valle-alto-monterrey-residencia-lujo.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/24c9110048f9d0.jpg,25.5703982,-100.2733331
786,Casa - Valle Alto,"$ 13,995,000",3,588,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-valle-alto-7.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/476bdb97279792.jpg,25.5703982,-100.2733331
787,Casa en Venta en Valle Alto Carretera Nacional,"$ 17,600,000",4,1035,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-valle-alto-carretera-nacional.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/9cc49d30117726.jpg,25.5703982,-100.2733331
788,Portal de Valle Alto,"$ 9,700,000",5,420,"Valle Alto, Monterrey",https://www.lamudi.com.mx/portal-de-valle-alto.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/dbdb750d9cad45.jpg,25.5703982,-100.2733331
789,Casas en Venta en Los Milagros de Valle Alto,"$ 8,900,000",3,380,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casas-en-venta-en-los-milagros-de-valle-alto.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/88de3b4a82795b.jpg,25.5703982,-100.2733331
790,"Casa en Venta en Valle Alto Mty Carretera Nacional, 4 Recamaras, 450 m² Jardin","$ 18,900,000",4,831,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-valle-alto-mty-carretera-nacional-4-recamaras-450-m2-jardin.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/965c3d0cda9489.jpg,25.5703982,-100.2733331
791,"CASA EN PROYECTO EN VENTA FRACCIONAMIENTO VALLE ALTO   $11,850,000","$ 11,850,000",3,500,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-proyecto-en-venta-fraccionamiento-valle-alto-11-850-000.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/b8bd768f887b9e.jpg,25.5703982,-100.2733331
792,"CASA VENTA LOS MILAGROS DE VALLE ALTO, CARRETERA NACIONAL, MONTERREY","$ 9,500,000",3,380,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-venta-los-milagros-de-valle-alto-carretera-nacional-monterrey.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/0ba9324acecc2f.jpg,25.5703982,-100.2733331
793,Casa en venta con un departamento c/entrada independiente en privada Valle Alto,"$ 18,000,000",6,1119,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-con-un-departamento-c-entrada-independiente-en-privada-valle-alto.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/af602627782aba.jpg,25.5703982,-100.2733331
794,Casas en Venta en El Porton de Valle Alto,"$ 9,300,000",3,320,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casas-en-venta-en-el-porton-de-valle-alto-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/c0d2a582a89469.jpg,25.5703982,-100.2733331
795,CASA EN PREVENTA EN HACIENDA LOS ENCINOS,"$ 19,500,000",3,595,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-preventa-en-hacienda-los-encinos.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/b247e95c68c4cb.jpg,25.5703982,-100.2733331
796,Casa - Vista Hermosa,"$ 8,750,000",3,353,"Vista Hermosa, Monterrey",https://www.lamudi.com.mx/casa-vista-hermosa-46.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/fec7125e57c7e2.jpg,25.6910283,-100.3568071
797,Casa en venta Col. Vista Hermosa,"$ 4,200,000",3,283,"Vista Hermosa, Monterrey",https://www.lamudi.com.mx/casa-en-venta-col-vista-hermosa-5.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/4316e3d1c9c707.jpg,25.6910283,-100.3568071
798,"Casa En Venta En Vista Hermosa, Monterrey, Nuevo Leon","$ 5,800,000",4,270,"Vista Hermosa, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-vista-hermosa-monterrey-nuevo-leon-15.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/25c38ac7614f0b.jpg,25.6910283,-100.3568071
799,"Casa En Venta En Vista Hermosa, Monterrey, Nuevo Leon","$ 6,300,000",3,300,"Vista Hermosa, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-vista-hermosa-monterrey-nuevo-leon-17.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/7f41988f74cf5a.jpg,25.6910283,-100.3568071
800,"Casa En Venta En Vista Hermosa, Monterrey, Nuevo Leon","$ 9,500,000",4,442,"Vista Hermosa, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-vista-hermosa-monterrey-nuevo-leon-11.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/599289c583cb54.jpg,25.6910283,-100.3568071
801,Venta Casa en Vista Hermosa Monterrey,"$ 5,700,000",5,300,"Vista Hermosa, Monterrey",https://www.lamudi.com.mx/venta-casa-en-vista-hermosa-monterrey.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/55f79a46aecc56.jpg,25.6910283,-100.3568071
802,Venta de Casa Amueblada de un Piso en Vista Hermosa Monterrey,"$ 16,690,000",3,800,"Vista Hermosa, Monterrey",https://www.lamudi.com.mx/venta-de-casa-amueblada-de-un-piso-en-vista-hermosa-monterrey.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/b9bbbfc352df83.jpg,25.6910283,-100.3568071
803,"Casa En Venta En Vista Hermosa, Monterrey, Nuevo Leon","$ 16,500,000",3,650,"Vista Hermosa, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-vista-hermosa-monterrey-nuevo-leon-13.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/2bb7e183d7ca86.jpg,25.6910283,-100.3568071
804,"Casa En Venta En Vista Hermosa, Monterrey, Nuevo Leon","$ 10,000,000",3,310,"Vista Hermosa, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-vista-hermosa-monterrey-nuevo-leon-12.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/8186affd5558fd.jpg,25.6910283,-100.3568071
805,Casa en venta en Vista Hermosa,"$ 5,700,000",4,300,"Vista Hermosa, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-vista-hermosa-154.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/8292f59189681c.jpg,25.6910283,-100.3568071
806,"Casa Uso Comercial En Venta En Vista Hermosa, Monterrey, Nuevo Leon","$ 12,000,000",5,380,"Vista Hermosa, Monterrey",https://www.lamudi.com.mx/casa-uso-comercial-en-venta-en-vista-hermosa-monterrey-nuevo-leon-2.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/c7dc86341599ba.jpg,25.6910283,-100.3568071
807,"Casa Uso Comercial En Venta En Vista Hermosa, Monterrey, Nuevo Leon","$ 34,500,000",10,800,"Vista Hermosa, Monterrey",https://www.lamudi.com.mx/casa-uso-comercial-en-venta-en-vista-hermosa-monterrey-nuevo-leon-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/fc6e032e786876.jpg,25.6910283,-100.3568071
808,CASA EN VENTA VISTA HERMOSA,"$ 14,500,000",3,617,"Vista Hermosa, Monterrey",https://www.lamudi.com.mx/casa-en-venta-vista-hermosa-39.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/dd2424b11a521e.jpg,25.6910283,-100.3568071
809,Casa en Vista Hermosa con excelente ubicacion,"$ 7,500,000",3,175,"Vista Hermosa, Monterrey",https://www.lamudi.com.mx/casa-en-vista-hermosa-con-excelente-ubicacion.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/63286a0d63d39d.jpg,25.6910283,-100.3568071
