,titulo,precio,nRecamaras,m2_construidos,ubicacion,link,imagen,lat,lng
18,Casa en venta en Monterrey,"$ 9,990,000",4,420,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-monterrey-52.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/435ec97638b3d3.jpg,25.555904,-100.2258503
19,"Casa en venta en La Joya, Priv. Loreto, totalmente terminada y equipada.","$ 10,226,000",3,401,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-la-joya-priv-loreto-totalmente-terminada-y-equipada.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/99f4ff768318a4.jpg,25.555904,-100.2258503
20,Casa en venta en esquina Carretera Nacional SIENNA,"$ 11,600,000",3,470,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-esquina-carretera-nacional-sienna-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/96e64fc264a9d1.jpg,25.555904,-100.2258503
21,Casa - La Joya Privada residencial,"$ 11,900,000",3,459,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-la-joya-privada-residencial-16.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/3408a2daf8d975.jpg,25.555904,-100.2258503
22,CASA EN VENTA EN LA JOYA RESIDENCIAL,"$ 11,500,000",5,458,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-la-joya-residencial-10.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/1cde117564eb34.jpg,25.555904,-100.2258503
23,"CASA EN VENTA LA JOYA RESIDENCIAL, CARRETERA NACIONAL","$ 11,900,000",3,459,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-la-joya-residencial-carretera-nacional-6.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/89edd112886b91.jpg,25.555904,-100.2258503
24,"LA JOYA RESIDENCIAL, CARRETERA NACIONAL. PRIVADA CALANDRIA","$ 8,950,000",3,354,"La Joya, Monterrey",https://www.lamudi.com.mx/la-joya-residencial-carretera-nacional-privada-calandria.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/dc131181dd9ea6.jpg,25.555904,-100.2258503
25,Casa en venta en La Joya privada Loreto...,"$ 7,600,000",2,380,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-la-joya-privada-loreto-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/b7164779da8cfd.jpg,25.555904,-100.2258503
26,"Residencia Equipada de Lujo en Venta La Joya Residencial, Monterrey","$ 17,500,000",4,700,"La Joya, Monterrey",https://www.lamudi.com.mx/residencia-equipada-de-lujo-en-venta-la-joya-residencial-monterrey-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/6d2fcfd36b647e.jpg,25.555904,-100.2258503
27,Casa Pre Venta   en Carretera Nacional,"$ 10,850,000",3,376,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-pre-venta-en-carretera-nacional-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/ffeef486adaa5d.jpg,25.555904,-100.2258503
28,Excelente propiedad en Cumbres del Sol Sector Joya,"$ 4,750,000",3,279,"La Joya, Monterrey",https://www.lamudi.com.mx/excelente-propiedad-en-cumbres-del-sol-sector-joya.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/a8512d55b3cdb8.jpg,25.555904,-100.2258503
29,Casa en venta en La Joya,"$ 14,000,000",3,470,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-la-joya-94.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/6eaee3118d70de.jpg,25.555904,-100.2258503
30,"Residencia Equipada de Lujo en Venta La Joya Residencial, Monterrey","$ 17,700,000",4,700,"La Joya, Monterrey",https://www.lamudi.com.mx/residencia-equipada-de-lujo-en-venta-la-joya-residencial-monterrey.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/0bb4d11926ef53.jpg,25.555904,-100.2258503
31,Casa en Venta en Monterrey Carretera Nacional,"$ 13,500,000",3,380,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-monterrey-carretera-nacional-8.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/8e487eede7b659.jpg,25.555904,-100.2258503
32,Casa en Venta en La Joya Carretera Nacional Monterrey,"$ 12,990,000",5,570,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-la-joya-carretera-nacional-monterrey-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/53fe83ef866629.jpg,25.555904,-100.2258503
33,Casa - La Joya Privada residencial,"$ 16,200,000",3,717,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-la-joya-privada-residencial-11.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/65fa0f0a5709d7.jpg,25.555904,-100.2258503
34,Casa - La Joya Privada residencial,"$ 17,350,000",3,700,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-la-joya-privada-residencial-14.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/1753b6382b4558.jpg,25.555904,-100.2258503
35,"CASA PREVENTA EN VENTA LA JOYA CARR NACIONAL MONTERREY NL $10,150,000","$ 10,150,000",3,460,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-preventa-en-venta-la-joya-carr-nacional-monterrey-nl-10-150-000-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/ca18cd87d841c5.jpg,25.555904,-100.2258503
36,CASA EN PREVENTA EN CARRETERA NACIONAL,"$ 17,100,000",4,464,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-preventa-en-carretera-nacional-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/4cedd2fd4baed0.jpg,25.555904,-100.2258503
37,Casa - La Joya Privada residencial,"$ 14,000,000",4,602,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-la-joya-privada-residencial-3.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/f5a3d6e33df183.jpg,25.555904,-100.2258503
38,Casa  en Venta La Joya Privada Residencial Seguridad 24/7 al sur de Monterrey (MHG),"$ 10,650,000",5,496,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-la-joya-privada-residencial-seguridad-24-7-al-sur-de-monterrey-mhg.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/d697b091c06bae.jpg,25.555904,-100.2258503
39,"Hermosa Casa en La Joya, Loreto","$ 11,500,000",3,458,"La Joya, Monterrey",https://www.lamudi.com.mx/hermosa-casa-en-la-joya-loreto.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/edaa1a1c510995.jpg,25.555904,-100.2258503
40,"Casa en Venta la Joya Residencial, Loreto.","$ 10,800,000",4,446,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-la-joya-residencial-loreto.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/cf9f9145d109fb.jpg,25.555904,-100.2258503
